OOS,IS,Avalible,time
15,55,21,07:38:37
5,80,69,07:38:49
7,62,69,07:39:01
7,6,9,07:39:13
7,24,43,07:39:26
7,31,19,07:39:39
2,65,91,07:39:51
1,204,97,07:40:03
5,141,78,07:40:15
5,189,96,07:40:27
2,18,28,07:40:39
2,166,97,07:40:52
5,156,92,07:41:05
6,180,92,07:41:17
6,154,92,07:41:28
7,131,90,07:41:40
4,153,95,07:41:53
1,108,99,07:42:05
3,117,98,07:42:16
1,135,97,07:42:28
4,137,93,07:42:40
3,111,88,07:42:52
3,132,96,07:43:04
2,149,98,07:43:15
6,152,94,07:43:27
13,130,77,07:43:39
11,132,86,07:43:52
10,40,57,07:44:05
7,49,75,07:44:17
2,147,91,07:44:29
10,63,83,07:44:42
15,55,21,07:44:53
5,80,69,07:45:05
7,62,69,07:45:17
7,6,9,07:45:29
7,24,43,07:45:41
7,31,19,07:45:54
2,65,91,07:46:07
1,204,97,07:46:19
5,141,78,07:46:31
5,189,96,07:46:42
2,18,28,07:46:54
2,166,97,07:47:06
5,156,92,07:47:18
6,180,92,07:47:30
6,154,92,07:47:41
7,131,90,07:47:53
4,153,95,07:48:06
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
1,108,99,07:48:17
